quality_issue_id,normalized_row_id,episode_id,issue_type,severity,raw_value,suggested_value,status
dq_319551030266b7cd,nr_7f3a370eaac75e63,ep_76e09d95962a620c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_6d42c452fce4b996,nr_7f3a370eaac75e63,ep_76e09d95962a620c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_ec96369a6792d950,nr_a00a455da3d9fa04,ep_39dd1c10ffe5d7ed,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_5b9391da59e7812f,nr_f548a6d7870ef3bf,ep_a84717d2da81f4e9,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a4d81b5899084bd5,nr_f548a6d7870ef3bf,ep_a84717d2da81f4e9,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_3a4995455303414b,nr_405663befebfb43f,ep_c78d81f5942f2326,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_2a10a448c9bdc366,nr_405663befebfb43f,ep_c78d81f5942f2326,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_86335ba5183ad83b,nr_5c373f0f68d5eef9,ep_c9f7b083ce9ba4d0,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_d345969d891b27bc,nr_5c373f0f68d5eef9,ep_c9f7b083ce9ba4d0,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_00813b0b297df47b,nr_f5e6b053604c40b7,ep_5091ca21f99a927b,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_59a8948fc202d253,nr_368886a9f2336702,ep_ba676b5ff32558ef,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a9b4bb31028455d7,nr_50382623f46bfdac,ep_a486a3474e41beaf,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_4f94d131e90c6613,nr_f82ecfeff06374b2,ep_a59555708952624c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_ad75ece3e039439b,nr_f82ecfeff06374b2,ep_a59555708952624c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_902af278909b07f9,nr_39bc099fad6c4aec,ep_6a87b13874edd2cd,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_2a731fab75710a13,nr_f41def307ea25887,ep_cb1c3fc3e86a12e3,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
